City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,waingapu,-9.6567,120.2641,24.28,67,44,3.18,ID,1690415126
244,qusmuryn,52.4503,64.6311,18.49,73,44,1.16,KZ,1690415127
245,talnakh,69.4865,88.3972,22.34,60,37,2.36,RU,1690414971
246,razole,16.4833,81.8333,24.8,92,100,6.06,IN,1690415128
247,funafuti,-8.5243,179.1942,30.0,79,100,4.63,TV,1690415128
248,hanzhong,33.0728,107.0303,22.99,97,100,1.2,CN,1690415129
249,tazovsky,67.4667,78.7,16.91,87,16,1.44,RU,1690415129
250,halifax,44.6453,-63.5724,23.94,84,48,5.66,CA,1690414797
251,richards bay,-28.783,32.0377,18.08,67,0,8.14,ZA,1690414851
252,tarko-sale,64.9225,77.785,20.65,63,74,2.48,RU,1690415131
253,sunne,59.8376,13.143,13.18,98,9,1.17,SE,1690415118
254,kavieng,-2.5744,150.7967,28.65,74,41,4.02,PG,1690415132
255,buka,40.8108,69.1986,26.56,19,0,3.43,UZ,1690415133
256,bahia honda,22.9036,-83.1592,28.64,72,20,5.71,CU,1690415133
257,grand falls-windsor,48.9332,-55.6649,18.82,93,88,2.3,CA,1690414966
258,al jawf,29.5,38.75,29.28,18,11,3.73,SA,1690415134
259,udachny,66.4167,112.4,18.03,67,100,4.32,RU,1690415135
260,kapuskasing,49.4169,-82.4331,23.05,60,75,1.54,CA,1690415135
261,la'ie,21.6477,-157.9253,30.98,72,32,7.54,US,1690415135
262,taltal,-25.4,-70.4833,15.52,85,33,1.41,CL,1690415136
263,turtas,58.9417,69.1325,14.12,95,68,1.97,RU,1690415136
264,cremlingen,52.25,10.65,14.13,87,75,1.79,DE,1690415137
265,pankovka,58.5,31.1999,13.02,97,15,2.51,RU,1690415137
266,hohhot,40.8106,111.6522,21.16,73,0,3.0,CN,1690415138
267,castillos,-34.1667,-53.8333,10.1,79,38,6.57,UY,1690415138
268,montgomery,39.1501,-77.1997,30.74,72,5,0.45,US,1690415139
269,leku,6.8667,38.45,14.72,91,93,1.78,ET,1690415139
270,lensk,60.7253,114.9278,21.54,78,50,2.22,RU,1690415140
271,impfondo,1.6381,18.0667,22.54,82,37,0.99,CG,1690415140
272,taroa,8.7058,171.2275,28.09,77,100,5.46,MH,1690415140
273,constantia,44.1833,28.65,22.61,75,24,10.8,RO,1690415141
274,sandnessjoen,66.0217,12.6316,13.29,87,69,3.6,NO,1690415019
275,ziro,27.6333,93.8333,15.42,99,100,0.45,IN,1690415142
276,neiafu,-18.65,-173.9833,24.38,73,75,2.06,TO,1690415142
277,uliastay,47.7417,96.8444,17.08,40,67,1.89,MN,1690415142
278,matthew town,20.95,-73.6667,28.75,79,96,9.79,BS,1690415143
279,astrakhan,46.3497,48.0408,21.93,83,0,2.0,RU,1690415143
280,saalfelden am steinernen meer,47.4268,12.848,9.94,59,77,1.39,AT,1690415144
281,khash,28.2211,61.2158,25.19,58,78,0.13,IR,1690415144
282,martapura,-3.4167,114.85,22.05,94,56,1.03,ID,1690415145
283,omdurman,15.6445,32.4777,28.16,58,43,6.35,SD,1690414899
284,najran,17.4924,44.1277,28.36,16,13,2.53,SA,1690415145
285,fale old settlement,-9.3852,-171.2468,28.51,73,14,8.3,TK,1690415146
286,broome,42.2506,-75.833,26.6,67,68,1.79,US,1690415147
287,susuman,62.7833,148.1667,10.14,84,100,2.82,RU,1690415147
288,balaka,-14.9793,34.9558,15.55,94,24,3.06,MW,1690415148
289,arraial do cabo,-22.9661,-42.0278,21.23,86,58,9.83,BR,1690415148
290,chibougamau,49.9168,-74.3659,22.79,49,75,3.32,CA,1690415149
291,ibarreta,-25.2144,-59.8585,15.84,75,71,2.35,AR,1690415149
292,jijiga,9.35,42.8,16.72,77,33,8.13,ET,1690415150
293,la sarre,48.8002,-79.1996,17.8,95,100,4.52,CA,1690415150
294,nova sintra,14.8667,-24.7167,22.64,87,29,6.87,CV,1690414999
